  5659   D:   (e) +".026+/-8; of B, +".034+/-12.
  5659   Dyn: (a) ".011.
  5679   S:   (a) B7/8V+G8III/IV.
  5679   Var: (a) U Cep.  ADS 830A, EA, 6.80-9.10V,
  5679   Var: (b) 2.493083d, masses 4.2, 2.8 solar,
  5679   Var: (c) radii 2.9, 4.8 solar, semi-detached
  5679   Var: (d) system.  Secondary min 6.89V.  Period
  5679   Var: (e) varies, gradual increase as well as
  5679   Var: (f) irregular spontaneous variations.  In
  5679   Var: (g) primary minimum, emission lines of
  5679   Var: (h) variable intensity.  For the two
  5679   Var: (i) eclipsing components Eggen gives
  5679   Var: (j) 6.95V, -0.11(B-V), -0.43(U-B), B7V;
  5679   Var: (k) and 9.11V, +0.88(B-V), +0.40(U-B), G8III.
  5679   SB:  (a) 2.4930d, e 0.0, K$1 120k/s, V$0 -2k/s,
  5679   SB:  (b) m$1sin3i 4.19, K$2 180k/s, m$2sin3i
  5679   SB:  (c) 2.80, a$1sini 4.11; a$2sini 6.17.
  5679   SB:  (d) Brighter component of ADS 830;
  5679   SB:  (e) companion 11.2m at 13.8".
  5679   RV:  (a) ADS 830 A, from -157 to +189k/s.
  5679   RV:  (b) Emission lines give +310k/s.
  5679   D:   (a) B, 11.2v ,RV +20.6k/s, PM
  5679   D:   (b) +.023",-.002"; @Dm for variable
  5679   D:   (c) primary at maximum.  C, 12.2v at
  5679   D:   (d) 21.2", 323~, companions of the
  5679   D:   (e) eclipsing variable, U Cep.
  5679   G:   (a) Primary component surrounded by
  5679   G:   (b) gaseous disc.
  5747   G:   (a) HII 13.
  6334   C:   (a) Magnitude and colors blend of
  6334   C:   (b) components A and B.
  6334   S:   (a) Also classified F6/8III/IV.
  6334   D:   (a) Component A, 7.52V, +0.48(B-V),
  6334   D:   (b) +0.04(U-B); RV +12k/s.  Component B,
  6334   D:   (c) 7.62V, +0.46(B-V), +0.02(U-B); RV
  6334   D:   (d) +13k/s.  Component C, 11.8v at 100".
  6334   Dyn: (a) ".006.
  6403   D:   (a) 6.6,10.6v.
  6403   Dyn: (a) ".018.
  6734   N:   (a) 29 Cet.
  6734   G:   (a) Arcturus group, member.
  6833   S:   (a) K1.5IIICN1Fe0.5.  Metal-deficient red giant.
  6869   Dyn: (a) ".007.
  6918   D:   (a) ADS 963Aa.  Nearly equal components
  6918   D:   (b) showing orbital motion.  Other
  6918   D:   (c) components probably optical.
  6918   Dyn: (a) ".014.
  7122   Var: (a) AM Cet.  SRb.  6.84 to 7.13V, +1.54 to
  7122   Var: (b) 1.64(B-V), 1.46 to 1.61(U-B), +1.16
  7122   Var: (c) to 1.25(R-I).  70d, quasi-periodic.
  7215   S:   (a) Also classified A0V.
  7215   D:   (a) Component A, SB2, A2+A1.
  7215   D:   (b) Component B, 8.78V, +0.20(B-V),
  7215   D:   (c) +0.075.  CPM.
  7215   Dyn: (a) ".020.
  7471   D:   (a) ADS 1030C.  AB, HD 7507, 7.17V,
  7471   D:   (b) +0.38(B-V), +0.04(U-B), F0.
  7471   D:   (c) Components differ by one magnitude
  7471   D:   (d) and show orbital motion.  Probably
  7471   D:   (e) not related to CD or E.  CD possibly
  7471   D:   (f) a physical system.  D, 11.64V,
  7471   D:   (g) +0.61(B-V), +0.07(U-B).  E, 15.58V,
  7471   D:   (h) +1.08(B-V), optical.
  7471   Dyn: (a) ".006.
  7561   S:   (a) Formerly classified N0.
  7561   Var: (a) Z Psc.  SRb, 8.8-10.1p, 144d.
  7636   S:   (a) Also classified B2V, B1.5e.
  7727   N:   (a) 40 Cet.
  7902   Var: (a) NSV 466, ADS 1073C 6.93-7.01V.  B6Ib.
  7902   D:   (a) ADS 1073A = HR 382 = HD 7927.  B 12.3
  7902   D:   (b) at 48", 208~.  C is BD +57~257.
  7902   G:   (a) NGC 457.131.
  8001   Var: (a) NSV 465.  Spectrum probably var.
  8224   Dyn: (a) ".019.
  8391   G:   (a) Member Hyades Group.
  8441   S:   (a) B8/A2pSrCrEu.
  8441   Var: (a) HN And.  @aCV, 6.67-6.76V, 69.5d.
  8441   SB:  (a) Period 106.27d.
  8441   Dyn: (a) ".011.
  8487   Dyn: (a) ".006.
  8787   D:   (a) Comp. B is CPD -60~111, PM  +.085",+.023".
  8875   N:   (a) 95 Psc.
  8875   Var: (a) NSV 515.  Amp. 0.03.
  8875   D:   (a) ADS 1158, 7.6,7.9v, 63.8y, e 0.86, a
  8875   D:   (b) 0.311", i 111~.  Also occultation double.
  8875   Dyn: (a) ".003.
  8875   G:   (a) Wolf 630 Group, member.
  9022   RV:  (a) +39 and +54.9k/s.
  9166   G:   (a) @zHerculis Group.
  9250   S:   (a) Also classified F8II.
  9250   Var: (a) V636 Cas.  C@d, amp. 0.17V, 8.377d.
  9250   Var: (b) (B-V) on Geneva system varies from
  9250   Var: (c) about +0.70 to +0.79.  One of the
  9250   Var: (d) smallest amplitude Cepheids known.
  9250   SB:  (a) 8.377d, amp. 9.4k/s.
  9312   SB:  (a) Brighter component of ADS 1202.  36.588d,
  9312   SB:  (b) e 0.20, K 30.0k/s, V$0 -3.4k/s, asini 14.8.
  9312   D:   (a) Component C 11.60V at 67", 241~,
  9312   D:   (b) probably optical.
  9336   D:   (a) Component B, -19~263, 7.39V, K0 = HD
  9336   D:   (b) 9337, PM +.031",-.007".
  9770   D:   (a) AB 7.8,7.9v, 4.559y, e 0.316, a 0.171",
  9770   D:   (b) i 25~.  AB-C 7.10,11.5, K3V+M2V, 115.2y,
  9770   D:   (c) a 1.443".  111.8y, a 1.419".
  9770   Dyn: (a) ".056.
 10135   N:   (a) 104 Psc.
 10783   Var: (a) UZ Psc.  @aCV.  Amp. .022V, 4.1327d.
 10783   Var: (b) Magnetic variable, period of magnetic
 10783   Var: (c) field 4.134d.
 10783   SB:  (a) Period 1 year or longer.
 11131   D:   (a) CPM with HD 11171 = HR 531 = @cCyg,
 11131   D:   (b) parallax +".046.
 11285   Var: (a) VV Ari.  @dSct,  6.69 and 6.74V, amp.
 11285   Var: (b) 0.02(B-V), 110min.  Ultra-short
 11285   Var: (c) period cepheid.
 11860   SB:  (a) 7.4391d, e 0.0, K$1 31.6k/s, V$0
 11860   SB:  (b) -9.5k/s, m$1sin3i 0.124, a$1sini 3.23;
 11860   SB:  (c) K$2 35.6k/s, m$2sin3i 0.110, a$2sini
 11860   SB:  (d) 3.64.  Primary perhaps as late as A2.
 11860   SB:  (e) Secondary has weak K-line and may be Am.
 11860   RV:  (a) +1 to -24k/s.
 12369   G:   (a) Member Arcturus Group.
 12402   G:   (a) Member Hyades Group.
 12509   G:   (a) Perseus I.
 12927   D:   (a) Component B is HD 12881, 7.17V, Am, SB2
 12927   D:   (b) period 3.674d.  C is 13.9v at 51" from B.
